25% or More Above Overall,,Cluster 3,,,Cluster 4,,,,Cluster 5,,,,,Cluster 6,,,,,,Cluster 7,,,,,,,Cluster 8,,,,,,,
25% or less Below Overall,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950,3173,1462,4315,1672,3839,2159,1280,542,3217,1979,2068,1144,531,2928,1903,1895,1048,645,2941,1898,510,648,1896,1052,5,1745,1923,1576,1877,430,619,775,5
Seg_Pct,1,35%,16%,48%,19%,43%,24%,14%,6%,36%,22%,23%,13%,6%,33%,21%,21%,12%,7%,33%,21%,6%,7%,21%,12%,0%,19%,21%,18%,21%,5%,7%,9%,0%
BALANCE,1541.05,2768.78,2131.57,438.17,1723.45,1051.01,464.91,4587.64,3013.33,1140.96,1016.41,489.85,4776.39,2950.47,1211.27,508.16,1025.59,5009.23,804.46,1207.65,501.32,3100.14,814.29,1019.50,4987.75,68.82,443.73,2196.03,1181.85,473.88,3354.56,755.63,5332.25,68.82
BALANCE_FREQUENCY,0.88,0.96,0.97,0.79,0.97,0.84,0.82,0.97,0.98,0.83,0.94,0.81,0.97,0.98,0.85,0.81,0.95,0.97,0.77,0.85,0.81,0.99,0.77,0.95,0.97,0.40,0.73,0.99,0.97,0.81,0.99,0.78,0.96,0.40
PURCHASES,936.23,273.87,3460.74,567.94,3096.08,363.62,526.57,523.30,5510.23,219.71,1555.79,499.35,502.03,5551.97,222.49,518.95,1572.71,540.34,380.74,225.14,518.98,5652.92,380.86,1605.56,529.56,210.30,427.14,200.64,1900.35,524.61,6010.24,393.69,566.81,210.30
ONEOFF_PURCHASES,536.49,177.14,2212.87,232.76,2004.80,280.82,8.70,275.58,3423.27,185.79,1024.65,0.00,280.36,3470.88,186.22,0.00,1030.11,293.07,238.95,188.16,0.00,3526.48,239.36,1050.44,287.33,146.44,327.53,139.06,1266.36,0.00,3641.42,239.86,324.99,146.44
INSTALLMENTS_PURCHASES,384.50,96.83,1153.33,335.54,1024.53,82.92,514.55,233.62,1858.89,33.96,529.98,498.35,214.24,1859.75,36.30,515.17,541.39,238.22,141.83,37.02,515.19,1895.33,141.55,553.57,234.15,63.86,99.81,61.65,631.50,520.77,2087.19,153.87,235.78,63.86
CASH_ADVANCE,935.92,2154.14,592.51,156.47,381.55,624.04,153.04,3915.96,823.61,766.59,229.17,168.42,4075.30,783.69,761.26,156.06,233.69,4124.21,1037.80,756.20,152.19,786.31,1052.79,234.64,4101.55,4146.07,451.84,1006.05,288.26,147.94,719.25,977.12,5143.95,4146.07
PURCHASES_FREQUENCY,0.49,0.20,0.93,0.56,0.93,0.23,0.72,0.30,0.95,0.13,0.84,0.71,0.31,0.95,0.13,0.69,0.84,0.32,0.40,0.13,0.69,0.96,0.40,0.84,0.32,0.20,0.25,0.16,0.90,0.70,0.96,0.42,0.32,0.20
ONEOFF_PURCHASES_FREQUENCY,0.20,0.09,0.69,0.12,0.68,0.13,0.01,0.12,0.71,0.08,0.52,0.00,0.12,0.72,0.08,0.00,0.52,0.12,0.12,0.08,0.00,0.72,0.12,0.53,0.12,0.02,0.13,0.07,0.61,0.00,0.71,0.12,0.14,0.02
PURCHASES_INSTALLMENTS_FREQUENCY,0.36,0.12,0.66,0.44,0.63,0.12,0.68,0.22,0.80,0.05,0.53,0.67,0.22,0.79,0.05,0.67,0.53,0.23,0.27,0.05,0.67,0.80,0.27,0.54,0.23,0.20,0.13,0.10,0.57,0.67,0.82,0.28,0.22,0.20
CASH_ADVANCE_FREQUENCY,0.13,0.30,0.08,0.03,0.06,0.13,0.03,0.42,0.09,0.16,0.05,0.03,0.42,0.09,0.15,0.03,0.05,0.42,0.20,0.15,0.03,0.09,0.20,0.05,0.42,0.10,0.07,0.22,0.06,0.02,0.08,0.19,0.47,0.10
CASH_ADVANCE_TRX,3.08,7.00,2.00,0.56,1.38,2.59,0.51,11.09,2.57,3.16,1.01,0.56,11.24,2.43,3.14,0.51,1.02,11.44,3.41,3.12,0.50,2.49,3.43,1.03,11.38,1.40,1.42,4.69,1.17,0.48,2.42,3.31,13.19,1.40
PURCHASES_TRX,14.15,4.05,48.39,9.98,43.83,4.60,11.83,7.94,72.46,2.23,24.14,11.47,7.62,72.83,2.31,11.86,24.63,8.38,4.92,2.35,11.86,74.65,4.93,24.92,8.26,3.20,4.63,3.18,29.52,12.02,78.29,5.18,8.35,3.20
CREDIT_LIMIT,4474.42,4525.53,6987.62,3585.31,6602.81,3432.91,3129.90,7085.75,8656.46,3286.37,5080.59,3047.66,7364.47,8617.51,3434.15,3191.05,5154.81,7612.70,2474.31,3438.86,3187.13,8653.14,2489.09,5188.59,7578.90,9320.00,4194.97,3218.78,5474.31,3174.99,8820.93,2405.89,8542.33,9320.00
PAYMENTS,1649.42,1814.04,3656.89,848.20,3130.15,989.92,772.33,3172.62,5969.18,977.86,1565.04,772.57,3222.32,5956.84,1039.90,812.74,1602.20,3417.30,605.02,1038.67,810.64,5961.02,604.23,1636.78,3401.98,11022.19,1155.28,1001.85,1873.56,812.21,6256.76,563.10,4191.59,11022.19
MINIMUM_PAYMENTS,751.39,1264.46,968.91,300.41,711.28,446.73,417.14,2281.33,1363.07,469.14,438.17,435.48,2368.23,1313.80,500.13,441.41,443.12,2552.53,322.74,499.11,436.09,1391.78,324.92,439.15,2543.97,24.93,241.31,1141.92,474.03,436.83,1631.90,311.57,2124.22,24.93
PRC_FULL_PAYMENT,0.15,0.02,0.25,0.21,0.27,0.07,0.28,0.03,0.27,0.05,0.23,0.27,0.03,0.28,0.05,0.27,0.23,0.03,0.16,0.05,0.27,0.27,0.16,0.23,0.03,0.13,0.13,0.01,0.24,0.27,0.26,0.16,0.04,0.13
TENURE,11.52,11.38,11.89,11.50,11.88,11.44,11.47,11.35,11.94,11.40,11.74,11.45,11.37,11.94,11.87,11.84,11.89,11.65,7.29,11.87,11.84,11.94,7.29,11.89,11.66,12.00,11.86,11.85,11.90,11.85,11.96,7.23,11.51,12.00
MON_AVG_PURCHASE,80.56,24.94,292.03,49.80,261.09,32.34,46.16,47.38,462.60,19.79,133.46,43.88,45.21,466.15,18.76,43.97,132.49,46.98,53.56,18.98,43.98,474.70,53.56,135.21,46.04,17.53,36.04,16.89,160.19,44.42,503.88,55.45,49.94,17.53
MON_AVG_CA_AMT,85.25,198.10,50.35,14.09,32.06,56.84,14.15,359.83,69.92,70.17,19.77,15.59,374.09,66.62,64.34,13.10,19.70,366.24,144.39,63.91,12.78,66.89,146.55,19.78,363.54,345.51,38.06,85.36,24.25,12.41,61.56,137.26,461.60,345.51
LIMIT_USAGE,0.39,0.68,0.34,0.18,0.29,0.42,0.21,0.70,0.36,0.45,0.27,0.22,0.70,0.35,0.46,0.22,0.27,0.71,0.35,0.46,0.22,0.37,0.35,0.27,0.71,0.01,0.14,0.77,0.28,0.22,0.39,0.34,0.64,0.01
PAYMENT_RATIO,5.54,2.76,11.73,5.47,11.30,4.61,4.24,2.97,17.83,4.42,6.95,4.14,2.93,18.15,4.30,4.18,7.04,2.85,4.73,4.29,4.18,13.17,4.71,7.27,2.86,483.57,7.35,1.55,7.60,4.22,13.23,4.46,3.82,483.57
P_TYPE_INSTALLMENT,0.25,0.08,0.02,0.46,0.00,0.00,0.95,0.14,0.02,0.01,0.00,1.00,0.14,0.02,0.01,1.00,0.00,0.15,0.27,0.01,1.00,0.02,0.27,0.00,0.15,0.00,0.00,0.05,0.00,1.00,0.03,0.28,0.12,0.00
P_TYPE_NONE,0.23,0.53,0.00,0.08,0.00,0.38,0.00,0.44,0.01,0.48,0.00,0.00,0.43,0.01,0.47,0.00,0.00,0.41,0.34,0.47,0.00,0.00,0.34,0.00,0.41,0.80,0.26,0.55,0.00,0.00,0.00,0.33,0.42,0.80
P_TYPE_ONE_OFF,0.21,0.24,0.14,0.21,0.17,0.35,0.00,0.19,0.07,0.36,0.23,0.00,0.19,0.07,0.36,0.00,0.22,0.19,0.24,0.36,0.00,0.06,0.24,0.22,0.19,0.00,0.43,0.24,0.21,0.00,0.05,0.23,0.21,0.00
